Name,Path,SAMAccountName,userPrincipalName,OfficePhone,department,AccountPassword,City,Company,Country,Display Name,EmailAddress,Organization,State
James Kirk,"OU=InfoTech,OU=Corp,DC=mw,DC=local",james.kirk,james.kirk@mw.local,555-555-1234,InfoTech,P@ssword,Green Bay,Initech,US,James Kirk,james.kirk@mw.local,Initech,WI
Sam Malone,"OU=InfoTech,OU=Corp,DC=mw,DC=local",sam.malone,sam.malone@mw.local,555-555-1235,InfoTech,P@ssword,Green Bay,Initech,US,Sam Malone,sam.malone@mw.local,Initech,WI
Ryan Howard,"OU=InfoTech,OU=Corp,DC=mw,DC=local",ryan.howard,ryan.howard@mw.local,555-555-1236,InfoTech,P@ssword,Green Bay,Initech,US,Ryan Howard,ryan.howard@mw.local,Initech,WI
Daryll Philbin,"OU=InfoTech,OU=Corp,DC=mw,DC=local",daryll.philbin,daryll.philbin@mw.local,555-555-1237,InfoTech,P@ssword,Green Bay,Initech,US,Daryll Philbin,daryll.philbin@mw.local,Initech,WI
Angela Martin,"OU=Accounting,OU=Corp,DC=mw,DC=local",angela.martin,angela.martin@mw.local,555-555-1238,Accounting,P@ssword,Green Bay,Initech,US,Angela Martin,angela.martin@mw.local,Initech,WI
Kevin Malone,"OU=Accounting,OU=Corp,DC=mw,DC=local",kevin.malone,kevin.malone@mw.local,555-555-1239,Accounting,P@ssword,Green Bay,Initech,US,Kevin Malone,kevin.malone@mw.local,Initech,WI
Oscar Martinez,"OU=Accounting,OU=Corp,DC=mw,DC=local",oscar.martinez,oscar.martinez@mw.local,555-555-1240,Accounting,P@ssword,Green Bay,Initech,US,Oscar Martinez,oscar.martinez@mw.local,Initech,WI
Cosmo Kramer,"OU=Accounting,OU=Corp,DC=mw,DC=local",cosmo.kramer,cosmo.kramer@mw.local,555-555-1241,Accounting,P@ssword,Green Bay,Initech,US,Cosmo Kramer,cosmo.kramer@mw.local,Initech,WI
Peter Gibbons,"OU=Developers,OU=Corp,DC=mw,DC=local",peter.gibbons,peter.gibbons@mw.local,555-555-1242,Developers,P@ssword,Green Bay,Initech,US,Peter Gibbons,peter.gibbons@mw.local,Initech,WI
Michael Bolton,"OU=Developers,OU=Corp,DC=mw,DC=local",michael.bolton,michael.bolton@mw.local,555-555-1243,Developers,P@ssword,Green Bay,Initech,US,Michael Bolton,michael.bolton@mw.local,Initech,WI
Tom Smykowski,"OU=Developers,OU=Corp,DC=mw,DC=local",tom.smykowski,tom.smykowski@mw.local,555-555-1244,Developers,P@ssword,Green Bay,Initech,US,Tom Smykowski,tom.smykowski@mw.local,Initech,WI
Bill Lumbergh,"OU=Developers,OU=Corp,DC=mw,DC=local",bill.lumbergh,bill.lumbergh@mw.local,555-555-1245,Developers,P@ssword,Green Bay,Initech,US,Bill Lumbergh,bill.lumbergh@mw.local,Initech,WI
Michael Scott,"OU=Manufacturing,OU=Corp,DC=mw,DC=local",michael.scott,michael.scott@mw.local,555-555-1246,Manufacturing,P@ssword,Green Bay,Initech,US,Michael Scott,michael.scott@mw.local,Initech,WI
Milton Waddams,"OU=Manufacturing,OU=Corp,DC=mw,DC=local",milton.waddams,milton.waddams@mw.local,555-555-1247,Manufacturing,P@ssword,Green Bay,Initech,US,Milton Waddams,milton.waddams@mw.local,Initech,WI
Bob Slydell,"OU=Manufacturing,OU=Corp,DC=mw,DC=local",bob.slydell,bob.slydell@mw.local,555-555-1248,Manufacturing,P@ssword,Green Bay,Initech,US,Bob Slydell,bob.slydell@mw.local,Initech,WI
Bob Porter,"OU=Manufacturing,OU=Corp,DC=mw,DC=local",bob.porter,bob.porter@mw.local,555-555-1249,Manufacturing,P@ssword,Green Bay,Initech,US,Bob Porter,bob.porter@mw.local,Initech,WI
Amie Baldwin,"OU=Accounting,OU=Corp,DC=mw,DC=local",Amie.Baldwin,Amie.Baldwin@mw.local,555-555-1250,Accounting,P@ssword,Green Bay,Initech,US,Amie Baldwin,Amie.Baldwin@mw.local,Initech,WI
Scott Culp,"OU=Accounting,OU=Corp,DC=mw,DC=local",Scott.Culp,Scott.Culp@mw.local,555-555-1251,Accounting,P@ssword,Green Bay,Initech,US,Scott Culp,Scott.Culp@mw.local,Initech,WI
Derek Graham,"OU=developers,OU=Corp,DC=mw,DC=local",Derek.Graham,Derek.Graham@mw.local,555-555-1252,developers,P@ssword,Green Bay,Initech,US,Derek Graham,Derek.Graham@mw.local,Initech,WI
Stephanie Bourne,"OU=Sales,OU=Corp,DC=mw,DC=local",Stephanie.Bourne,Stephanie.Bourne@mw.local,555-555-1253,Sales,P@ssword,Green Bay,Initech,US,Stephanie Bourne,Stephanie.Bourne@mw.local,Initech,WI
Matthew Dunn,"OU=Executive,OU=Corp,DC=mw,DC=local",Matthew.Dunn,Matthew.Dunn@mw.local,555-555-1254,Executive,P@ssword,Green Bay,Initech,US,Matthew Dunn,Matthew.Dunn@mw.local,Initech,WI
Sherri Hart,"OU=Developers,OU=Corp,DC=mw,DC=local",Sherri.Hart,Sherri.Hart@mw.local,555-555-1255,Developers,P@ssword,Green Bay,Initech,US,Sherri Hart,Sherri.Hart@mw.local,Initech,WI
Jay Jamieson,"OU=Sales,OU=Corp,DC=mw,DC=local",Jay.Jamieson,Jay.Jamieson@mw.local,555-555-1256,Sales,P@ssword,Green Bay,Initech,US,Jay Jamieson,Jay.Jamieson@mw.local,Initech,WI
Lani Ota,"OU=Sales,OU=Corp,DC=mw,DC=local",Lani.Ota,Lani.Ota@mw.local,555-555-1257,Sales,P@ssword,Green Bay,Initech,US,Lani Ota,Lani.Ota@mw.local,Initech,WI
Carolyn Seeley,"OU=Accounting,OU=Corp,DC=mw,DC=local",Carolyn.Seeley,Carolyn.Seeley@mw.local,555-555-1258,Accounting,P@ssword,Green Bay,Initech,US,Carolyn Seeley,Carolyn.Seeley@mw.local,Initech,WI
Robert Lyon,"OU=Accounting,OU=Corp,DC=mw,DC=local",Robert.Lyon,Robert.Lyon@mw.local,555-555-1259,Accounting,P@ssword,Green Bay,Initech,US,Robert Lyon,Robert.Lyon@mw.local,Initech,WI
Fidelma McGinn,"OU=Accounting,OU=Corp,DC=mw,DC=local",Fidelma.McGinn,Fidelma.McGinn@mw.local,555-555-1260,Accounting,P@ssword,Green Bay,Initech,US,Fidelma McGinn,Fidelma.McGinn@mw.local,Initech,WI
